Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Notes,Location,City,lon,lat,Reason for tow,Trade Name,Merchant,Address,lot_lon,lot_lat,tow_dist
2024-05-31,2017.0,VOLK,JET,OVER 2 HOUR LIMIT/ HENRY'S 301-869-4800/ LOT,833 WAYNE AVE,SILVER SPRING,-77.024100962,38.996089003,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31900.5
2022-05-12,2019.0,DODG,CHA,NO PERMIT // AUTHORIZED 301-562-4020 // TCL,2205 SHOREFIELD RD,SILVER SPRING,-77.04694,39.05305,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,18202.1
2023-09-12,2017.0,HOND,ACC,NOP HENRYS 3018694800 TCL,9874 BROOKRIDGE CT,MONTGOMERY VILLAGE,-77.201360025,39.18846399,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,5328.7
2023-08-23,2011.0,DODG,JNY,NOP HENRYS 301-869-4800 TCL,2217 GEORGIAN WAY,SILVER SPRING,-77.047521005,39.054868021,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,18481.6
2022-03-30,2019.0,HOND,ACC,HENRYS 3018694800  FIRE LN   TCL,9834 DAIRYTON CT,MONTGOMERY VILLAGE,-77.20185,39.18943,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,5044.0
2023-03-11,2014.0,HOND,ACC,INVALID PERM // HENRY'S 301-869-4800 // TCL,3224 SPARTAN RD,OLNEY,-77.06242,39.15049,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,14012.6
2021-07-04,2017.0,TOYT,HIGH,"PKG   SPEEDY,  301-588-1322, TCL",12389 GEORGIA AVE,SILVER SPRING,-77.05075,39.05991,PKG,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,12217.5
2023-11-12,2014.0,,,"UHAUL TRAILER  UN-AUTHORIZED, NO OVERNIGHT, WALK OFF",20918 FREDERICK RD,GERMANTOWN,-77.251351959,39.200731995,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,10347.8
2023-11-20,2022.0,NISS,ALT,PKG // HENRYS TOWING // 301-869-4800 // TCL,1131 UNIVERSITY BLVD W,SILVER SPRING,-77.029221969,39.037589021,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,22844.4
2024-02-02,2020.0,FORD,ESC,REASON: PRV PROP//AUTHORIZED/301-562-4020/TCL,11101 GEORGIA AVE,SILVER SPRING,-77.049585971,39.037215984,PVT,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,20500.3
2021-08-25,2006.0,KIA,SED,NO PERMIT DISPALYED  HENRY@301-869-4800//TCL,18904 SMOOTHSTONE WAY,MONTGOMERY VILLAGE,-77.20942,39.16766,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,4425.4
2022-04-15,2014.0,HOND,CRV,DRIVE 301-585-8808 // NOP // TCL,3214 HEWITT AVE,SILVER SPRING,-77.06426,39.07915,NOP,Drive Towing,Drive Towing,"14608 Old Gunpowder Rd, Laurel, MD 20707",-76.915644786956,39.088537803649,21202.1
2021-12-09,2021.0,TESLA,Y,HENRYS (301) 927-0007// NOP // TCL,4906 DEL RAY AVE,BETHESDA,-77.09904,38.9896,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,25899.0
2022-11-01,2004.0,HOND,PLT,PKG // MILLERS // 3016020392 // TCL,9316 PINEY BRANCH RD,SILVER SPRING,-76.98586,39.00138,PKG,"Millers's Towing & Recovery, LLC","Millers's Towing & Recovery, LLC","18625 Mooney Drive, Gaithersburg, MD 20879",-77.165309428477,39.1625786911,34154.3
2023-11-23,2009.0,HOND,ODY,MGMT REQ INOPERABLE ALRM WONT STOPSOUNDING   HENRYS  301 869 4800  TCL  NEG STOLEN  ONWER NOTIF,16009 COOLIDGE AVE,SILVER SPRING,-77.06971201,39.115923019,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,12262.1
2022-12-28,2019.0,JEEP,CHER,"NOP, UNABLE TO READ VIN   HENRY'S,  301-869-4800, TCL",5901 MONTROSE RD,ROCKVILLE,-77.11908,39.05298,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,18993.8
2023-01-03,2019.0,NISS,ALT,NOP / BIG TOW 301 424 4869 TCL,11326 APPLEDOWRE WAY,GERMANTOWN,-77.23588,39.18544,NOP,Big Tow,Big Tow,"375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,12674.2
2023-12-06,2007.0,CHEV,TAH,PKG // HENRYS 301-869-4800 // TCL,919 ELLSWORTH DR,SILVER SPRING,-77.026988024,38.996114986,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31446.0
2022-11-21,2014.0,GMC,SRA,NOP HENRYS 301-869-4800 TCL,12909 CHURCHILL RIDGE CIR,GERMANTOWN,-77.26769,39.18681,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,13049.8
2024-07-02,2016.0,KIA,OPI,PARKED IN HANDICAP // HENRYS 301-869-4800 // TCL,1131 UNIVERSITY BLVD W,SILVER SPRING,-77.029221969,39.037589021,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,22844.4
2023-09-20,2012.0,CHEV,VO,NOP // HENRYS 301 869 4800 // TCL,19400 BRASSIE PL,MONTGOMERY VILLAGE,-77.202151025,39.17448,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,3392.1
2022-09-25,2020.0,TOYT,RAV,FIRE / DRIVE / 301 585 8808 / TCL,475 SOUTHAMPTON DR,SILVER SPRING,-76.9842,39.00617,FIRE,Drive Towing,Drive Towing,"14608 Old Gunpowder Rd, Laurel, MD 20707",-76.915644786956,39.088537803649,12472.8
2022-08-13,2014.0,VOLV,XC6,SPEEDY 301-588-1322  FIRE LANE / TCL,19809 WHEELWRIGHT DR,MONTGOMERY VILLAGE,-77.21212,39.181,FIRE,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,14665.0
2023-08-05,2016.0,BMW,320,SPEEDY TOWING 301-588-1322,3525 SHEFFIELD MANOR TER,SILVER SPRING,-76.934320972,39.080071984,NOP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,24120.9
2023-11-05,2021.0,HODA,PLT,HANDICAP PARKING W/O PERMIT OR TAG // AUTHORIZED // 301-562-4020 // TCL,19757 CRYSTAL ROCK DR,GERMANTOWN,-77.261135987,39.179386012,PKG,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13230.6
2021-08-10,2008.0,BMW,328,"NOP  HENRY'S  301-869-4800, TCL",12910 PINNACLE DR,GERMANTOWN,-77.26638,39.18334,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,13478.2
2022-11-22,2007.0,HOND,ACC,NOP // AUBURN // 301-977-2740 // TCL,382 N SUMMIT AVE,GAITHERSBURG,-77.19308,39.14794,NOP,"Auburn Towing, Inc.","Auburn Towing, Inc.","375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,6522.2
2024-01-20,2023.0,HOND,ACC,,13612 COLGATE WAY,SILVER SPRING,-76.93303896,39.078769981,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31713.9
2021-10-11,2008.0,TOYT`,CAM,NOP   HENRYS 301-927-0007 / TCL,906 SILVER SPRING AVE,SILVER SPRING,-77.02465,38.99166,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31837.9
2022-11-06,2004.0,DODG,CVN,HENRYS 301-869-4800 // NO COMM VEH // TCL,13503 NIAGARA FALLS CT,GERMANTOWN,-77.27925,39.16121,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,12176.9
2024-02-15,1996.0,JEEP,CHK,VEH INOPERABLE // AUTHORIZED 301-562-4020 // TCL,2481 JONES LN,SILVER SPRING,-77.049961983,39.054204006,DAV,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,17725.3
2024-07-03,2013.0,AUDI,Q3,SPEEDY 3015881322  TCL  NOP,801 SLIGO AVE,SILVER SPRING,-77.022718031,38.990497016,NOP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,18546.8
2023-06-18,2011.0,NISS,VRS,NO OVERNIGHT PARKING // HENRY'S 301-869-4800 // TCL,9989 STEDWICK RD,MONTGOMERY VILLAGE,-77.20693197899999,39.17105000000004,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,4046.9
2023-01-28,2004.0,CHEV,EXP,"NO VISITOR PERMIT// HENRY'S, 301-869-4800, TCL",10 NINA CT,GAITHERSBURG,-77.18133,39.14432,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,4590.1
2023-11-05,2004.0,HOND,ACC,EXP GUEST PASS // AUTHORIZED 301-562-4020 // TCL,14120 WEEPING WILLOW DR,SILVER SPRING,-77.067597004,39.088272,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13941.1
2023-12-16,2010.0,TOYT,AVA,NOP // DIVERSIFIED 301 881 8035 // TCL,4805 BATTERY LN,BETHESDA,-77.096540973,38.992794998,NOP,Diversified Recovery,Diversified Recovery,"12527 Parklawn Drive, Rockville, MD 20852",-77.117447177077,39.061616842557,8493.4
2023-07-23,2017.0,NISS,,AUBURN TOWING 301-977-2740 TCL // NOP,18833 POPPYSEED LN,GERMANTOWN,-77.267934967,39.163977014,NOP,"Auburn Towing, Inc.","Auburn Towing, Inc.","375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,13399.4
2023-01-17,2015.0,FORD,FIE,"SPEEDY TOWING (301) 588-1322, FIRE, BACK TO THE LOT // 2015 BLK FORD FIESTA, MD 3FA6321",3700 ANGELTON CT,BURTONSVILLE,-76.93303,39.08859,FIRE,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,24762.4
2021-08-03,2007.0,KIA,SPC,SPEEDY 301-588-1322 // EXP PERMIT // TCL,14631 MONMOUTH DR,BURTONSVILLE,-76.93173,39.09643,NOP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,24172.1
2024-06-04,2012.0,VOLK,JET,NO PARKING PERMIT DISPLAYED / HENRYS 301 869 4800 / TCL,8010 GRAMERCY BLVD,DERWOOD,-77.163787976,39.123618989,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,6927.6
2022-07-18,2006.0,TOYT,COA,NOP HENRYS 3018694800 TCL,SMOKE HOUSE CT / MATENY RD,GERMANTOWN,-77.26755,39.15304,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11305.1
2023-12-24,2022.0,TOYT,COA,NOP // AUTHORIZED TOWING 301-562-4020 // TCL,20010 FREDERICK RD,GERMANTOWN,-77.240191036,39.183836006,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,11021.4
2023-11-11,2015.0,KIA,SPT,NOP // MILLERS 301-602-0392 TCL,3225 HEWITT AVE,SILVER SPRING,-77.066723023,39.080095999,NOP,"Millers's Towing & Recovery, LLC","Millers's Towing & Recovery, LLC","18625 Mooney Drive, Gaithersburg, MD 20879",-77.165309428477,39.1625786911,14686.5
2024-06-10,2022.0,FORD,MUST,,5410 MC GRATH BLVD,ROCKVILLE,-77.108797998,39.048123983,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,20243.9
2024-03-11,2009.0,ACUR,ATL,HENRYS // 301-869-4800-// NO PERMIT / TCL,17 BARKLEY LN,GAITHERSBURG,-77.190356011,39.132404984,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,6289.4
2021-07-31,2008.0,ACUR,TSX,VIN COVERED // HANDICAP VIOLATION // HENRYS // 301-869-4800 // TCL,2386 GLENMONT CIR,SILVER SPRING,-77.04885,39.05753,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,18124.5
2024-01-13,2023.0,HOND,CIV,NO PERMIT // HENRY'S // 301 869 4800 // TCL,19520 WATERS RD,GERMANTOWN,-77.273961975,39.175920011,NO PERMIT,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,12779.8
2022-08-21,2020.0,TOYT,CAM,REASON : NO PAYMENT ON PARKING APP   HENRYS  301-869-4800  TCL     VIN # NOT VISABLE,8621 GEORGIA AVE,SILVER SPRING,-77.02865,38.99647,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31076.9
2021-10-15,2019.0,MAZD,MZ6,EXP PERMIT // HENRYS // 301-869-4800 // TCL,19620 WATERS RD,GERMANTOWN,-77.27379,39.17784,EXP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,12943.3
2022-04-06,2011.0,HOND,FIT,EXP PERMIT // AUTHORIZED 301 562 4020 // TCL,8021 GEORGIA AVE,SILVER SPRING,-77.02665,38.98763,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,31576.3
2023-07-18,2007.0,VOLK,JET,REASON : NOP  TOW CO : DRIVE 301-585-8808  TCL,14120 GRAND PRE RD,SILVER SPRING,-77.07577296399995,39.08660400200006,NOP,Drive Towing,Drive Towing,"14608 Old Gunpowder Rd, Laurel, MD 20707",-76.915644786956,39.088537803649,21746.7
2021-12-11,2020.0,FORD,ECOSPORT,REASON: NOP  TOW CO : AUTHORIZED 301-562-4020  TCL,3613 PEAR TREE CT,SILVER SPRING,-77.07165,39.09198,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13410.6
2021-12-30,2012.0,NISS,SE,DOUBLE PARKED// HENRY'S 301.927.0007// TCL,14400 BEL PRE DR,SILVER SPRING,-77.05139,39.09228,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,15652.0
2023-11-19,2017.0,HOND,CIV,NO PARKING PERMIT // BIG TOW 301-424-4869 // / TCL,460 GIRARD ST,GAITHERSBURG,-77.188429012,39.146480001,NOP,Big Tow,Big Tow,"375 Derwood Circle, Rockville, MD 20850",-77.152902935128,39.105768671141,6828.2
2023-12-02,2009.0,NISS,ALT,PKG - SPEEDY - 301-588-1322 - TCL,8560 2ND AVE,SILVER SPRING,-77.032605995,38.996120016,PKG,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,17561.4
2021-11-19,,HYUN,ELN,NO PERMIT  AUTHORIZED - 301-562-4020  BACK TO LOT,301 BALTUSROL DR,GERMANTOWN,-77.27304,39.19968,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,14244.5
2023-01-20,1999.0,FORD,F15,NOP // DRIVE 301-585-8808 // TCL,1700 HAMPSHIRE GREEN LN,SILVER SPRING,-76.97602,39.0155,NOP,Drive Towing,Drive Towing,"14608 Old Gunpowder Rd, Laurel, MD 20707",-76.915644786956,39.088537803649,11167.8
2022-09-15,2007.0,SCIO,TC,NOP   AUTHORIZED 301-562-4020  TCL,9214 CHADBURN PL,MONTGOMERY VILLAGE,-77.19051,39.19383,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,5358.5
2024-02-11,2019.0,NISS,ALT,HENRYS 301-869-4800,5901 MONTROSE RD,ROCKVILLE,-77.118849995,39.053527,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,19105.9
2022-03-17,2016.0,HOND,CIV,NOP  HENRYS- 301-869-4800  TCL,11431 LOCKWOOD DR,SILVER SPRING,-76.98699,39.04078,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,30260.5
2022-06-15,2016.0,FORD,TCN,AUTH 301 562 4020  NOP TCL,14120 WEEPING WILLOW DR,SILVER SPRING,-77.06679,39.0894,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13797.5
2023-08-06,2023.0,TOYT,TUN,REASON: COMMERCIAL VEH//SPEEDY/301-588-1322/TCL,4421 FISHERMANS CT,OLNEY,-77.088088997,39.144037012,PKG,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,9308.3
2022-07-03,2011.0,NISS,ALT,NOP// HENRYS 301-869-4800//TCL,10106 LITTLE POND PL,MONTGOMERY VILLAGE,-77.20818,39.1668,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,4354.7
2023-09-29,2007.0,TOYT,SNA,NOP // HENRYS 301-869-4800 // TCL,13615 COLGATE WAY,SILVER SPRING,-76.932942987,39.079378005,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31661.4
2023-04-17,2020.0,DODG,CHL,PARKED IN HANDICAP / HENRYS 301-927-0007 / TCL,2511 GLENALLAN AVE,SILVER SPRING,-77.05187,39.06379,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,17401.0
2024-04-04,2015.0,LEXS,RX350,NOP // MILLERS 301-602-0392//TCL,250 RICHARD MONTGOMERY DR,ROCKVILLE,-77.146441963,39.078460019,NOP,"Millers's Towing & Recovery, LLC","Millers's Towing & Recovery, LLC","18625 Mooney Drive, Gaithersburg, MD 20879",-77.165309428477,39.1625786911,11568.1
2023-02-27,2017.0,CHEV,CRZ,REASON: PARKING//HENRYS/301-869-4800/TCL,915 SILVER SPRING AVE,SILVER SPRING,-77.0255,38.99165,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31764.2
2023-10-08,2015.0,TOYT,COA,EXP STICKERS MILLERS 3016020392  VIN BLOCKED      NEG 1060,13402 DAVENTRY WAY,GERMANTOWN,-77.279041995,39.156837016,EXP,"Millers's Towing & Recovery, LLC","Millers's Towing & Recovery, LLC","18625 Mooney Drive, Gaithersburg, MD 20879",-77.165309428477,39.1625786911,13100.9
2023-01-29,2020.0,NISS,PTH,"ALTERED PERMIT, CHANGED DATE // HENRYS // 301-869-4800 // TCL",3416 GATESHEAD MANOR WAY,SILVER SPRING,-76.93618,39.0777,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31161.2
2023-02-28,2010.0,TOYT,CAM,NOP  HENRYS 301 869 4800,21229 OWLS NEST CIR,GERMANTOWN,-77.26629,39.20563,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,11963.4
2022-03-16,2018.0,FORD,ESC,NOP // HENRYS 301-869-4800 // TCL,15251 SIESTA KEY WAY,ROCKVILLE,-77.19424,39.10602,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,9929.1
2022-03-01,2005.0,CHRY,PCF,REASON : EXPIRED PERMIT  TOW CO : HENRYS  301-869-4800  TCL,9809 BETHESDA CHURCH RD,DAMASCUS,-77.20369,39.28351,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,18410.1
2021-09-16,2013.0,HYUN,ACC,DRIVE TOWING / 301 585 8808 / EXP PERMIT / TCL,475 SOUTHAMPTON DR,SILVER SPRING,-76.9842,39.00617,EXP,Drive Towing,Drive Towing,"14608 Old Gunpowder Rd, Laurel, MD 20707",-76.915644786956,39.088537803649,12472.8
2024-01-28,2018.0,TOYT,RAV,FIRE LN // HENRY'S 301-869-4800 // TCL,40 UPPER ROCK CIR,ROCKVILLE,-77.18536903,39.111822005,FIRE,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,9023.1
2021-12-18,2017.0,HYUN,,NO PERMIT IN VISITOR // HENRY'S 301-869-4800 // TCL,13 PRAIRIE ROSE LN,GAITHERSBURG,-77.21022,39.11878,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,9669.3
2021-10-30,2012.0,NISS,ALT,NOP // AUTHORIZED // 301-562-4020 // TCL,925 CLOPPER RD,GAITHERSBURG,-77.22738,39.14551,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,8230.7
2022-09-29,2016.0,VOLK,JET,NOP   HENRYS 301-869-4800 TCL,18710 WALKERS CHOICE RD,MONTGOMERY VILLAGE,-77.20533,39.16407,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,4397.3
2022-02-15,2006.0,LEXS,LS430,EXP PERMIT // SPEEDY @ 301-588-1322 // TCL,20700 CRYSTAL HILL CIR,GERMANTOWN,-77.27652,39.19795,EXP,Speedy Towing,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.133395924877,39.104344476742,20635.1
2021-12-04,2008.0,TOYT,CAM,NO PERMIT // AUTHORIZED 301 562 4020 // TCL,11225 OAK LEAF DR,SILVER SPRING,-76.99446,39.04085,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,29906.0
2022-07-28,,CHRY,300,"VIN UNREADABLE  HENRYS, 3019270007  TCL  RSVD PRKING",2025 RANDOLPH RD,SILVER SPRING,-77.04374,39.06167,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,18281.4
2022-04-26,2013.0,CHEV,SONIC,NOP AUTHORIZED 301-562-4020 TCL,13831 CASTLE BLVD,SILVER SPRING,-76.94276,39.0822,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,29755.2
2021-12-28,2012.0,FORD,MUS,NOP // AUTHO // 301 562 4020 // TCL,12633 GREY EAGLE CT,GERMANTOWN,-77.26196,39.16716,NOP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13229.8
2021-12-11,2009.0,MAZD,MZ5,WALK OFF// MILLERS// 301-602-0392// TCL,11260 GEORGIA AVE,SILVER SPRING,-77.05144,39.0402,PKG,"Millers's Towing & Recovery, LLC","Millers's Towing & Recovery, LLC","18625 Mooney Drive, Gaithersburg, MD 20879",-77.165309428477,39.1625786911,19740.4
2023-01-08,2022.0,TOYT,SNA,EXP PERMIT // AUTHORIZED @ 301-562-4020 // TCL,19757 CRYSTAL ROCK DR,GERMANTOWN,-77.26139,39.17946,EXP,Authorized Towing,Authorized Towing,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838374,39.164402180848,13107.9
2023-07-20,2018.0,AUDI,A5,"UNAUTH PARKING// HENRY'S, 301-869-4800, TCL",8455 FENTON ST,SILVER SPRING,-77.02376602099997,38.99525299200008,PKG,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31837.6
2024-03-12,2007.0,NISS,VRS,HENRYS 3018694800 EXP TAGS,11235 OAK LEAF DR,SILVER SPRING,-76.993226976,39.041121993,EXP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,30555.0
2022-12-22,2020.0,TOYT,4RN,NOP // HENRY 301-927-0007 // TCL,4858 BATTERY LN,BETHESDA,-77.09766,38.99264,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,25496.9
2022-04-27,2015.0,HYUN,SANTA FE,NOP // HENRYS 3019270007 // TCL,10301 STRATHMORE HALL ST,ROCKVILLE,-77.10201,39.02615,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,23012.3
2023-05-25,2012.0,HOND,ACC,NO PERMIT / HENRYS 301-869-4800 / TCL,3404 GATESHEAD MANOR WAY,SILVER SPRING,-76.93652,39.07848,NOP,Henry's Wrecker Service,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.169829435875,39.167950088781,31123.7
